"V2","variable","value"
"1",1,"V639",1
"2",2,"V639",1
"3",3,"V639",1
"4",4,"V639",2
"5",5,"V639",2
"6",6,"V639",2
"7",7,"V639",1
"8",8,"V639",2
"9",9,"V639",2
"10",10,"V639",2
"11",11,"V639",1
"12",12,"V639",1
"13",13,"V639",2
"14",14,"V639",1
"15",15,"V639",1
"16",16,"V639",2
"17",17,"V639",1
"18",18,"V639",1
"19",19,"V639",2
"20",20,"V639",2
"21",21,"V639",1
"22",22,"V639",2
"23",23,"V639",1
"24",24,"V639",2
"25",25,"V639",2
"26",26,"V639",1
"27",27,"V639",1
"28",28,"V639",2
"29",29,"V639",1
"30",30,"V639",2
"31",31,"V639",1
"32",32,"V639",2
"33",33,"V639",2
"34",34,"V639",2
"35",35,"V639",1
"36",36,"V639",1
"37",37,"V639",2
"38",38,"V639",2
"39",39,"V639",2
"40",40,"V639",2
"41",41,"V639",2
"42",42,"V639",1
"43",43,"V639",1
"44",44,"V639",1
"45",45,"V639",1
"46",46,"V639",2
"47",47,"V639",2
"48",48,"V639",2
"49",49,"V639",2
"50",50,"V639",2
"51",51,"V639",1
"52",52,"V639",2
"53",53,"V639",1
"54",54,"V639",1
"55",55,"V639",1
"56",56,"V639",2
"57",57,"V639",2
"58",58,"V639",1
"59",59,"V639",1
"60",60,"V639",2
"61",61,"V639",1
"62",62,"V639",2
"63",63,"V639",1
"64",64,"V639",2
"65",65,"V639",2
"66",66,"V639",2
"67",67,"V639",2
"68",68,"V639",2
"69",69,"V639",2
"70",70,"V639",1
"71",71,"V639",1
"72",72,"V639",2
"73",73,"V639",2
"74",74,"V639",1
"75",75,"V639",2
"76",76,"V639",1
"77",77,"V639",2
"78",78,"V639",1
"79",79,"V639",1
"80",80,"V639",2
"81",81,"V639",2
"82",82,"V639",2
"83",83,"V639",2
"84",84,"V639",1
"85",85,"V639",0
"86",86,"V639",1
"87",87,"V639",1
"88",88,"V639",1
"89",89,"V639",2
"90",90,"V639",2
"91",91,"V639",1
"92",92,"V639",1
"93",93,"V639",1
"94",94,"V639",2
"95",95,"V639",2
"96",96,"V639",1
"97",97,"V639",1
"98",98,"V639",1
"99",99,"V639",1
"100",100,"V639",1
"101",101,"V639",2
"102",102,"V639",1
"103",103,"V639",1
"104",104,"V639",1
"105",105,"V639",2
"106",106,"V639",2
"107",107,"V639",2
"108",108,"V639",1
"109",109,"V639",2
"110",110,"V639",2
"111",111,"V639",1
"112",112,"V639",1
"113",113,"V639",2
"114",114,"V639",2
"115",115,"V639",2
"116",116,"V639",1
"117",117,"V639",1
"118",118,"V639",2
"119",119,"V639",2
"120",120,"V639",2
"121",121,"V639",2
"122",122,"V639",2
"123",123,"V639",1
"124",124,"V639",2
"125",125,"V639",1
"126",126,"V639",2
"127",127,"V639",2
"128",128,"V639",2
"129",129,"V639",2
"130",130,"V639",2
"131",131,"V639",2
"132",132,"V639",2
"133",133,"V639",2
"134",134,"V639",2
"135",135,"V639",2
"136",136,"V639",1
"137",137,"V639",2
"138",138,"V639",2
"139",139,"V639",2
"140",140,"V639",2
"141",141,"V639",2
"142",142,"V639",2
"143",143,"V639",1
"144",144,"V639",2
"145",145,"V639",2
"146",146,"V639",1
"147",147,"V639",1
"148",148,"V639",2
"149",149,"V639",2
"150",150,"V639",2
"151",151,"V639",2
"152",152,"V639",2
"153",153,"V639",1
"154",154,"V639",2
"155",155,"V639",1
"156",156,"V639",2
"157",157,"V639",1
"158",158,"V639",2
"159",159,"V639",2
"160",160,"V639",2
"161",161,"V639",1
"162",162,"V639",1
"163",163,"V639",2
"164",164,"V639",1
"165",165,"V639",2
"166",166,"V639",2
"167",167,"V639",2
"168",168,"V639",2
"169",169,"V639",1
"170",170,"V639",2
"171",171,"V639",2
"172",172,"V639",2
"173",173,"V639",2
"174",174,"V639",2
"175",175,"V639",1
"176",176,"V639",1
"177",177,"V639",2
"178",178,"V639",1
"179",179,"V639",2
"180",180,"V639",2
"181",181,"V639",1
"182",182,"V639",1
"183",183,"V639",1
"184",184,"V639",1
"185",185,"V639",2
"186",186,"V639",1
"187",187,"V639",1
"188",188,"V639",1
"189",189,"V639",2
"190",190,"V639",1
"191",191,"V639",1
"192",192,"V639",1
"193",193,"V639",2
"194",194,"V639",2
"195",195,"V639",2
"196",196,"V639",2
"197",197,"V639",2
"198",198,"V639",1
"199",199,"V639",1
"200",200,"V639",2
"201",201,"V639",1
"202",202,"V639",1
"203",203,"V639",2
"204",204,"V639",2
"205",205,"V639",1
"206",206,"V639",2
"207",207,"V639",2
"208",208,"V639",1
"209",209,"V639",1
"210",210,"V639",2
"211",211,"V639",1
"212",212,"V639",2
"213",213,"V639",1
"214",214,"V639",2
"215",215,"V639",2
"216",216,"V639",1
"217",217,"V639",2
"218",218,"V639",2
"219",219,"V639",2
"220",220,"V639",1
"221",221,"V639",1
"222",222,"V639",1
"223",223,"V639",1
"224",224,"V639",1
"225",225,"V639",1
"226",226,"V639",1
"227",227,"V639",2
"228",228,"V639",1
"229",229,"V639",1
"230",230,"V639",1
"231",231,"V639",2
"232",232,"V639",1
"233",233,"V639",2
"234",234,"V639",2
"235",235,"V639",2
"236",236,"V639",2
"237",237,"V639",2
"238",238,"V639",2
"239",239,"V639",1
"240",240,"V639",1
"241",241,"V639",2
"242",242,"V639",2
"243",243,"V639",1
"244",244,"V639",2
"245",245,"V639",2
"246",246,"V639",1
"247",247,"V639",2
"248",248,"V639",1
"249",249,"V639",1
"250",250,"V639",1
"251",251,"V639",1
"252",252,"V639",1
"253",253,"V639",2
"254",254,"V639",1
"255",255,"V639",1
"256",256,"V639",1
"257",257,"V639",2
"258",258,"V639",2
"259",259,"V639",1
"260",260,"V639",2
"261",261,"V639",1
"262",262,"V639",1
"263",263,"V639",2
"264",264,"V639",1
"265",265,"V639",1
"266",266,"V639",2
"267",267,"V639",2
"268",268,"V639",1
"269",269,"V639",1
"270",270,"V639",1
"271",271,"V639",1
"272",272,"V639",1
"273",273,"V639",2
"274",274,"V639",2
"275",275,"V639",0
"276",276,"V639",2
"277",277,"V639",2
"278",278,"V639",2
"279",279,"V639",1
"280",280,"V639",2
"281",281,"V639",1
"282",282,"V639",1
"283",283,"V639",1
"284",284,"V639",2
"285",285,"V639",2
"286",286,"V639",2
"287",287,"V639",2
"288",288,"V639",2
"289",289,"V639",1
"290",290,"V639",2
"291",291,"V639",2
"292",292,"V639",2
"293",293,"V639",2
"294",294,"V639",2
"295",295,"V639",2
"296",296,"V639",2
"297",297,"V639",1
"298",298,"V639",1
"299",299,"V639",1
"300",300,"V639",1
"301",301,"V639",1
"302",302,"V639",1
"303",303,"V639",1
"304",304,"V639",2
"305",305,"V639",2
"306",306,"V639",2
"307",307,"V639",2
"308",308,"V639",2
"309",309,"V639",1
"310",310,"V639",2
"311",311,"V639",2
"312",312,"V639",1
"313",313,"V639",1
"314",314,"V639",1
"315",315,"V639",1
"316",316,"V639",1
"317",317,"V639",2
"318",318,"V639",2
"319",319,"V639",1
"320",320,"V639",2
"321",321,"V639",1
"322",322,"V639",1
"323",323,"V639",1
"324",324,"V639",1
"325",325,"V639",1
"326",326,"V639",1
"327",327,"V639",1
"328",328,"V639",2
"329",329,"V639",2
"330",330,"V639",1
"331",331,"V639",2
"332",332,"V639",1
"333",333,"V639",2
"334",334,"V639",2
"335",335,"V639",1
"336",336,"V639",1
"337",337,"V639",2
"338",338,"V639",1
"339",339,"V639",1
"340",340,"V639",1
"341",341,"V639",2
"342",342,"V639",2
