"V639","V640","V641","V642","V643","V644","V645","V646","V647","V648","V649","V650","V651","V652","V653","V654","V655","V656","V657","V658","V659","V660","V661","V662","V663","V664","V665","V666","V667","V668","V669","V673","V680","V683","V684","V685","V686","V687","V688","V689","V690","V691","V692","V693","V694","V695","V696","V697","V698","V699"
"1",1,1,2,2,2,3,2,2,2,3,1,2,3,2,2,4,2,5,2,3,3,2,3,2,2,2,2,2,3,3,3,4,2,3,2,4,2,4,2,3,2,4,2,2,2,4,4,4,1,1
"2",1,2,2,2,3,2,2,1,1,3,1,2,2,2,2,4,4,3,2,2,4,2,2,2,2,3,2,2,2,3,3,2,2,4,2,4,2,4,4,2,2,5,2,3,2,4,2,4,1,1
"3",1,2,2,2,2,3,3,1,1,3,2,1,2,3,3,3,3,4,4,4,4,3,3,3,3,3,2,3,4,4,8,5,3,3,3,5,2,4,3,4,1,3,2,8,5,2,5,2,1,1
"4",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"5",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"6",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"7",1,4,4,2,2,2,2,2,2,4,1,2,3,2,4,2,2,4,4,3,4,2,2,1,2,1,3,3,2,2,3,4,1,4,5,2,4,2,4,4,2,5,3,3,4,3,2,3,1,1
"8",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"9",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"10",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"11",1,1,1,1,3,1,1,1,1,4,1,1,1,1,3,3,3,4,1,2,3,1,8,1,1,1,1,1,8,2,8,8,1,1,1,2,3,1,5,3,3,4,2,2,3,2,2,8,1,1
"12",1,2,2,2,2,2,3,2,1,3,1,3,3,2,4,8,2,2,2,4,8,8,8,8,8,8,3,2,3,3,3,4,4,3,2,4,1,5,2,4,1,2,2,2,8,8,8,8,1,1
"13",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"14",1,3,2,1,3,1,1,1,1,4,1,1,4,1,2,5,8,5,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,4,4,4,2,1,1,1,5,2,3,3,8,2,8,1,1
"15",1,2,3,3,2,3,3,2,2,1,1,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,5,4,4,2,4,2,4,2,4,2,1,2,8,4,2,4,2,1,1
"16",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"17",1,3,4,2,3,3,1,2,1,2,2,2,4,8,2,4,5,5,1,5,3,2,3,2,2,2,1,1,3,1,2,8,1,1,2,8,2,5,5,1,1,4,2,2,5,1,3,1,1,1
"18",1,2,3,2,2,9,2,3,2,4,3,3,3,3,3,4,4,2,2,2,2,3,3,3,3,2,3,2,3,4,8,4,4,3,3,3,3,4,2,2,2,3,2,2,2,4,3,2,1,9
"19",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"20",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"21",1,2,2,1,1,9,1,1,1,3,1,1,1,3,4,4,4,4,2,8,2,2,2,1,2,2,2,8,2,2,2,4,1,2,2,4,2,4,4,1,2,4,2,2,4,8,2,4,1,1
"22",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"23",1,3,3,4,8,9,4,3,1,9,9,9,8,4,2,4,2,3,4,3,2,3,9,9,2,2,3,3,4,3,4,9,4,1,4,3,5,3,4,1,3,5,8,0,3,3,1,3,4,7
"24",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"25",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"26",1,1,2,2,2,1,1,1,1,4,1,1,1,1,2,3,1,3,2,3,2,2,2,1,2,2,2,2,4,2,3,3,2,2,3,4,2,3,8,2,2,4,2,2,2,3,2,3,1,1
"27",1,1,2,2,1,1,2,1,2,4,2,2,2,2,4,5,2,3,1,3,3,2,2,1,1,2,1,2,2,2,3,4,1,2,2,3,3,4,3,1,2,4,2,2,2,4,2,2,1,1
"28",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"29",1,3,2,1,2,3,1,2,1,3,1,3,3,2,4,4,3,3,2,4,4,2,2,2,1,1,1,1,3,3,2,4,3,2,3,3,2,4,4,2,2,3,2,2,4,3,2,2,1,1
"30",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"31",1,3,2,2,2,2,2,2,1,2,1,3,3,3,2,3,1,2,4,3,3,3,2,2,2,2,2,2,3,3,2,4,2,2,3,3,4,1,3,3,1,5,2,2,2,2,2,2,1,1
"32",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"33",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"34",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"35",1,2,3,2,2,2,2,3,2,3,2,2,3,2,4,5,4,4,2,4,4,1,2,1,1,2,1,1,3,3,2,5,3,4,2,4,2,4,4,3,2,3,2,2,3,4,2,4,1,1
"36",1,2,2,2,3,2,2,2,1,3,2,2,3,2,4,3,2,3,2,3,3,3,3,2,3,2,2,3,3,3,2,4,3,2,3,3,3,2,3,2,2,8,2,2,3,3,3,3,2,1
"37",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"38",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"39",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"40",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"41",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"42",1,3,3,2,1,2,2,2,2,4,1,2,4,2,3,2,3,5,2,3,3,2,3,3,2,2,2,2,4,4,2,5,4,3,2,4,2,4,2,4,2,3,2,3,4,2,3,2,1,1
"43",1,2,2,2,2,2,2,2,1,3,2,2,2,3,3,3,3,4,3,3,2,3,2,2,3,2,2,2,3,3,3,4,2,2,4,3,4,2,3,2,2,4,2,2,3,4,3,2,1,1
"44",1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,3,3,4,2,3,3,2,2,1,2,1,2,2,3,2,2,4,5,3,2,4,2,4,2,3,2,3,8,3,3,8,8,2,1,1
"45",1,9,9,9,9,9,9,9,9,4,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,4,3,2,3,4,8,1,4,3,3,3,4,1,3,5,2,2,3,3,4,2,1,1
"46",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"47",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"48",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"49",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"50",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"51",1,1,2,2,3,3,2,3,2,9,1,2,4,2,3,8,2,5,5,5,3,2,2,2,2,2,4,4,4,4,2,4,5,5,2,5,2,5,2,4,1,2,2,4,4,2,4,3,1,1
"52",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"53",1,3,2,2,3,1,1,1,1,3,1,3,3,1,4,3,3,4,2,4,1,2,2,2,1,1,2,2,3,3,2,5,2,2,5,1,5,1,4,1,2,5,3,2,2,4,2,2,1,1
"54",1,2,1,2,2,9,9,9,9,4,1,2,4,2,1,3,4,4,5,2,5,2,2,2,2,2,3,2,3,4,3,1,2,4,2,4,2,3,4,2,1,3,2,3,4,1,5,2,1,1
"55",1,3,2,2,2,3,2,3,1,4,2,2,3,3,2,4,4,2,2,4,3,3,2,2,2,2,2,2,2,3,3,4,4,2,3,4,2,4,2,4,2,3,2,3,3,4,2,4,1,1
"56",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"57",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
